"catalog_key","category","phase","phase_description","summary","trigger","explanation","investigation","score_points","default_points","points_config_key","notes"
"POV_INSTANT_VALIDATION_20S","POV / verification timing (CSV)","per_account","Applied to each row during lead/email analysis.","Email verified within 20 seconds (CSV POV fields).","CSV POV fields: email verified within 20 seconds of signup.","Human users rarely complete verification instantly; sub-20s timing suggests automation or pre-validated inboxes.","Treat as critical if Admin email_validated timing confirms. Highest priority queue.","50 pts — POV ≤ 20s [pov_instant_20s]","50","pov_instant_20s",""
"POV_INSTANT_VALIDATION_40S","POV / verification timing (CSV)","per_account","Applied to each row during lead/email analysis.","Email verified within 40 seconds (CSV POV fields).","CSV POV: verified within 21–40 seconds.","Still abnormally fast for organic signup; slightly lower weight than 20s tier.","Compare with Admin validation timestamps when available.","40 pts — POV ≤ 40s [pov_instant_40s]","40","pov_instant_40s",""
"POV_FAST_VALIDATION_60S","POV / verification timing (CSV)","per_account","Applied to each row during lead/email analysis.","Email verified within 60 seconds (CSV POV fields).","CSV POV: verified within 41–60 seconds.","Fast validation band; meaningful when combined with other fraud signals.","Use as supporting signal unless affiliate shows widespread fast POV.","30 pts — POV ≤ 60s [pov_fast_60s]","30","pov_fast_60s",""
"email_validated","Admin — email validation timing","admin_enrichment","After Admin API + GeoIP enrichment (typically paid/enriched accounts).","Email validated within 60s (+50) or 61–120s (+30) of account creation (Admin API).","Admin API: seconds from account creation to email validation ≤ 60 or ≤ 120.","Strongest automated signal when platform timestamps are available—mirrors manual POV analysis at scale.","Prioritize ≤60s accounts for affiliate termination discussions. Flag stored as email_validated_{N}s(+points).","50 pts — Validation ≤ 60s after registration [email_validated_60s] | 30 pts — Validation 61–120s [email_validated_120s]","50 or 30","email_validated_60s","Also uses email_validated_120s config for 61–120 second window. | Stored as: email_validated_{N}s(+pts)"
"SEQUENTIAL_EMAIL","Affiliate batch","affiliate_batch","Second pass on the analysis batch; only matching accounts are flagged.","Same affiliate: same text stem + domain with 4+ distinct numeric suffixes on local part.","Same affiliate: same letter stem (≥4 chars) + same domain, with 4+ distinct numeric suffixes on local part.","Detects factory-style email generation (e.g. maucheesee71@, maucheesee76@) without requiring consecutive numbers.","Affiliate-level abuse indicator—review entire affiliate cohort sharing the stem.","30 pts — Account in detected cluster [sequential_email]","30","sequential_email",""
"WOMAN_CONCENTRATION","Affiliate batch","affiliate_batch","Second pass on the analysis batch; only matching accounts are flagged.","Affiliate has abnormally high WOMAN registration share (default ≥15%); flags WOMAN accounts from that affiliate.","Affiliate WOMAN share ≥ ~15% (configurable in build_gender_concentration_map) with sufficient sample; baseline ~0.9%.","Flags only WOMAN registrations from affiliates with abnormal gender mix—often mislabeled or scripted female profiles.","Affiliate quality conversation; compare to campaign and geo. Only flagged gender rows receive points.","25 pts — WOMAN account from concentrated affiliate [woman_concentration]","25","woman_concentration",""
"AFFILIATE_DOMAIN_CONCENTRATION","Affiliate batch","affiliate_batch","Second pass on the analysis batch; only matching accounts are flagged.","Non-excluded domain (default: not gmail.com) is ≥5% of affiliate emails with ≥20 registrations; flags accounts on that domain only.","Affiliate has ≥20 emails in batch; non-excluded domain (default: not gmail.com) is ≥5% of that affiliate's domains.","Fraud sources funnel traffic through disposable or niche domains. Gmail is excluded by default because it dominates legitimate traffic.","Inspect domain WHOIS/reputation; only accounts on the concentrated domain are flagged—not all affiliate traffic.","20 pts — Email domain matches concentrated pair (affiliate, domain) [affiliate_domain_concentration]","20","affiliate_domain_concentration",""
"IP_VELOCITY_HIGH","IP & device","per_account","Applied to each row during lead/email analysis.","Registration IP has 10+ signups in one hour (within analysis batch).","Registration IP has 10+ signups within one hour in the analysis batch (config: ip_velocity_threshold).","Classic fraud-ring signal—single IP driving volume in a short window.","Check SHARED_IP flags and datacenter/VPN ASN. Consider IP block at affiliate level.","30 pts — 10+ signups/hour on IP [ip_velocity_high]","30","ip_velocity_high",""
"IP_VELOCITY_MEDIUM","IP & device","per_account","Applied to each row during lead/email analysis.","Registration IP has 5+ signups in one hour (within analysis batch).","Registration IP has 5–9 signups within one hour in batch.","Elevated velocity; weaker alone but useful in combination.","Trend IP over multiple days if data available.","5 pts — 5+ signups/hour on IP [ip_velocity_medium]","5","ip_velocity_medium",""
"SHARED_IP_HIGH","IP & device","per_account","Applied to each row during lead/email analysis.","Same registration IP used by 10+ accounts in batch.","Same registration IP appears on 10+ accounts in the batch.","Shared infrastructure—café, VPN, or fraud farm.","Distinguish datacenter vs residential via enrichment flags.","35 pts — 10+ accounts share IP [shared_ip_high]","35","shared_ip_high",""
"SHARED_IP_MEDIUM","IP & device","per_account","Applied to each row during lead/email analysis.","Same registration IP used by 3–9 accounts in batch.","Same registration IP on 3–9 accounts in batch.","Moderate sharing; may be legitimate NAT but worth review on high-payout affiliates.","Correlate with email patterns.","20 pts — 3–9 accounts share IP [shared_ip_medium]","20","shared_ip_medium",""
"DESKTOP_DEVICE_SUSPICIOUS","IP & device","per_account","Applied to each row during lead/email analysis.","Desktop signup device; 20 pts Windows 10, 10 pts other desktops.","Signup user-agent indicates desktop; Windows 10 vs other desktop OS tiers.","Fraud farms often use Windows 10 desktops at scale; other desktops scored lower.","Combine with IP and email signals—desktop alone is weak.","20 pts — Windows 10 desktop [desktop_windows_10] | 10 pts — Other desktop OS [desktop_other]","20 or 10","desktop_windows_10","Other desktop uses desktop_other config key."
"SAME_US_STATE_CLUSTER","Geographic clustering","per_account","Applied to each row during lead/email analysis.","3+ accounts from the same US state in batch.","3+ accounts in batch share the same US state (geo from data).","Geographic clustering can indicate targeted fraud or proxy concentration.","Compare to affiliate's expected geo; check city-level cluster flag.","25 pts — 3+ accounts same US state [us_state_cluster]","25","us_state_cluster",""
"SAME_US_CITY_STATE_CLUSTER","Geographic clustering","per_account","Applied to each row during lead/email analysis.","3+ accounts from the same US city and state in batch.","3+ accounts share same US city and state.","Tighter cluster than state-only—higher confidence of coordinated signups.","Map to IP clusters and registration times.","30 pts — 3+ accounts same US city+state [us_city_state_cluster]","30","us_city_state_cluster",""
"SAME_INTL_COUNTRY_CITY_CLUSTER","Geographic clustering","per_account","Applied to each row during lead/email analysis.","3+ accounts from the same international city in batch.","3+ accounts share same non-US city.","International city clustering—common in outsourced fraud operations.","Check login_high_risk_country and geo_login_mismatch.","30 pts — 3+ accounts same intl city [intl_country_city_cluster]","30","intl_country_city_cluster",""
"ip_country_mismatch","Admin — IP / GeoIP","admin_enrichment","After Admin API + GeoIP enrichment (typically paid/enriched accounts).","Registration IP country ≠ login IP country.","GeoIP country of registration IP ≠ GeoIP country of login IP.","Cross-country movement between signup and login is suspicious on dating products when paired with other signals. Different from raw IP string mismatch.","Confirm countries in flag text. High-risk login country adds separate points.","35 pts — Reg country ≠ login country [ip_different_country]","35","ip_different_country","Stored as: ip_country_mismatch_{CC}→{CC}(+pts)"
"ip_state_mismatch","Admin — IP / GeoIP","admin_enrichment","After Admin API + GeoIP enrichment (typically paid/enriched accounts).","Same country but registration state ≠ login state.","Same country but US state (or region) differs between registration and login IP.","Cross-state moves happen legitimately but add risk when combined with automation signals.","Not scored for different cities within same state.","15 pts — Same country, different state [ip_different_state]","15","ip_different_state","Stored as: ip_state_mismatch_{ST}→{ST}(+pts)"
"login_high_risk_country","Admin — IP / GeoIP","admin_enrichment","After Admin API + GeoIP enrichment (typically paid/enriched accounts).","Login IP in configured high-risk country list.","Login IP country in config high_risk_countries (default: NG, GH, CI, CM, PH, RO, MD, ID).","Login from geographies over-represented in dating fraud ops.","Validate against declared geo in CSV; list is configurable.","30 pts — Login country in list [login_high_risk_country]","30","login_high_risk_country","Stored as: login_high_risk_country_{CC}(+pts)"
"geo_login_mismatch","Admin — IP / GeoIP","admin_enrichment","After Admin API + GeoIP enrichment (typically paid/enriched accounts).","Login IP country ≠ geo_country from leads CSV.","Login IP country ≠ geo_country from affiliate/leads CSV.","Cross-source inconsistency—lead data says one country, login IP another.","Data quality vs fraud—check if CSV geo is stale or VPN-related.","25 pts — Login country ≠ CSV geo_country [geo_login_country_mismatch]","25","geo_login_country_mismatch","Stored as: geo_login_mismatch_{CC}→{CC}(+pts)"
"registration_ip_datacenter","Admin — IP / GeoIP","admin_enrichment","After Admin API + GeoIP enrichment (typically paid/enriched accounts).","Registration IP resolves to datacenter/cloud hosting ASN.","Registration IP ASN classified as datacenter/cloud (AWS, GCP, Azure, etc.).","Consumer dating signups rarely originate from cloud host IPs.","ASN name appears in flag. Pair with email automation flags.","25 pts — Registration IP datacenter [registration_ip_datacenter]","25","registration_ip_datacenter","Stored as: registration_ip_datacenter_{org}(+pts)"
"login_ip_datacenter","Admin — IP / GeoIP","admin_enrichment","After Admin API + GeoIP enrichment (typically paid/enriched accounts).","Login IP resolves to datacenter/cloud hosting ASN.","Login IP ASN is datacenter/cloud.","Bots and scripted logins often use hosted infrastructure.","Compare to registration IP type.","25 pts — Login IP datacenter [login_ip_datacenter]","25","login_ip_datacenter","Stored as: login_ip_datacenter_{org}(+pts)"
"registration_ip_vpn","Admin — IP / GeoIP","admin_enrichment","After Admin API + GeoIP enrichment (typically paid/enriched accounts).","Registration IP on known VPN/proxy ASN.","Registration IP ASN matches known VPN/proxy providers.","Anonymized registration path—elevated risk on affiliate traffic.","VPN at registration + fast validation is high priority.","20 pts — Registration IP VPN/proxy ASN [registration_ip_vpn]","20","registration_ip_vpn","Stored as: registration_ip_vpn_{org}(+pts)"
"login_ip_vpn","Admin — IP / GeoIP","admin_enrichment","After Admin API + GeoIP enrichment (typically paid/enriched accounts).","Login IP on known VPN/proxy ASN.","Login IP on VPN/proxy ASN.","Common for fraud operators masking location.","Compare with geo_login_mismatch.","20 pts — Login IP VPN/proxy ASN [login_ip_vpn]","20","login_ip_vpn","Stored as: login_ip_vpn_{org}(+pts)"
"shared_card","Admin — payment / card","admin_enrichment","After Admin API + GeoIP enrichment (typically paid/enriched accounts).","Same non-excluded card linked to 3+ other accounts (35 pts) or 5+ (50 pts). Major issuers excluded.","Confirmed shared card (Used By, not fuzzy match) links account to 3+ or 5+ other DUIDs; major issuers excluded.","Same payment credential across many accounts indicates fraud ring or stolen card testing.","Use Admin shared cards view; 5+ is ring-level priority. QA cards/DUIDs can be whitelisted in config.","35 pts — 3–4 other accounts on same card [shared_card_3plus] | 50 pts — 5+ other accounts [shared_card_5plus]","35 or 50","shared_card_3plus","5+ accounts uses shared_card_5plus config. | Stored as: shared_card_{N}_accounts(+pts)"
"amex_card","Admin — payment / card","admin_enrichment","After Admin API + GeoIP enrichment (typically paid/enriched accounts).","American Express on file (rare baseline on dating sites).","Any Amex cardType on account payment methods.","Amex has near-zero baseline on typical dating traffic—any appearance is anomalous.","Verify charge outcomes; check billing gender mismatch.","30 pts — Amex present [amex_card]","30","amex_card","Stored as: amex_card(+pts)"
"business_card","Admin — payment / card","admin_enrichment","After Admin API + GeoIP enrichment (typically paid/enriched accounts).","Business/corporate card description on a dating site account.","cardDescription contains business/corporate/commercial/company/enterprise keywords.","Business cards are inherently unusual for consumer dating purchases.","Confirm description text in Admin; no issuer exclusions.","40 pts — Business card description [business_card]","40","business_card","Stored as: business_card(+pts)"
"discover_concentration","Admin — payment / card","post_enrichment","Batch rule after enrichment completes (e.g. Discover concentration).","Affiliate enriched accounts: Discover cards exceed threshold (default >10%, min 10 accounts); flags Discover-card accounts only.","Post-enrichment: affiliate has >10% Discover cards among enriched accounts (default), minimum 10 enriched accounts.","Discover baseline ~2% site-wide; affiliate-level spikes suggest bad traffic mix.","Only Discover-card accounts flagged. Affiliate negotiation / cap traffic.","20 pts — Discover account from hot affiliate [discover_concentration]","20","discover_concentration","Stored as: discover_concentration_{pct}pct_at_{affiliate}(+pts)"
"CONTENT_REVIEW","Manual review","review_queue","Review workflow; may not add risk points.","Profile photo present and (upload <180s after registration OR suspicious email/identity flags) — content/image review queue.","Profile image uploaded AND (upload <180s after registration OR suspicious email/identity flags).","Queues accounts for manual image review (stock, stolen, AI faces)—not always a score driver (default 0 points).","Reverse image search; compare upload timing. Does not replace email/card investigation.","0 pts — Review queue match [content_review]","0","content_review","Stored as: CONTENT_REVIEW(+pts)?"
"DATA_QUALITY_MISSING_EMAIL","Data quality","data_quality","Data issue, not a fraud pattern.","Missing email on record; fraud analysis skipped for row.","Email field empty or missing on input row.","Row skipped for pattern analysis; indicates export or pipeline data gap.","Fix upstream data—not a fraud finding.","0 pts — No email","0","",""
